Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2014-15,ACT,Other services,Aids and appliances,Non-government,Individuals,"22,110,476.85","25,176,797.47"
2014-15,ACT,Other services,Aids and appliances,Non-government,Other source of funds,"1,193,288.79","1,358,776.23"
2014-15,ACT,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,0.00,0.00
2014-15,ACT,Other services,Patient transport services,Australian Government,DoHAC and other,0.00,0.00
2014-15,ACT,Other services,Patient transport services,Australian Government,Premium rebates,"819,146.73","931,625.65"
2014-15,ACT,Other services,Patient transport services,Non-government,Health insurance funds,"2,016,581.61","2,293,483.05"
2014-15,ACT,Other services,Patient transport services,Non-government,Individuals,"18,360.94","20,882.12"
2014-15,ACT,Other services,Patient transport services,Non-government,Other source of funds,"1,268,314.90","1,442,470.13"
2014-15,ACT,Other services,Patient transport services,State and local government,State and local government,"38,451,208.18","43,731,031.57"
2014-15,ACT,Primary health care,All other medications,Australian Government,DoHAC and other,"6,104,696.02","6,371,244.93"
2014-15,ACT,Primary health care,All other medications,Australian Government,Premium rebates,"353,696.02","377,606.08"
2014-15,ACT,Primary health care,All other medications,Non-government,Health insurance funds,"870,731.53","929,593.50"
2014-15,ACT,Primary health care,All other medications,Non-government,Individuals,"92,340,937.99","98,583,239.95"
2014-15,ACT,Primary health care,All other medications,Non-government,Other source of funds,"2,079,243.54","2,219,801.64"
2014-15,ACT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"12,400,000.00","16,499,611.82"
2014-15,ACT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"100,396,582.60","133,587,571.93"
2014-15,ACT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"22,302,416.54","29,675,904.47"
2014-15,ACT,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,0.00,0.00
2014-15,ACT,Primary health care,Community health and other,Australian Government,DoHAC and other,"16,789,385.52","19,919,450.70"
2014-15,ACT,Primary health care,Community health and other,Australian Government,Premium rebates,848.36,"1,007.17"
2014-15,ACT,Primary health care,Community health and other,Non-government,Health insurance funds,"2,088.49","2,479.47"
2014-15,ACT,Primary health care,Community health and other,Non-government,Other source of funds,"10,086.76","11,975.04"
2014-15,ACT,Primary health care,Community health and other,State and local government,State and local government,"194,769,531.62","231,231,031.11"
2014-15,ACT,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"1,188,000.00","1,274,503.80"
2014-15,ACT,Primary health care,Dental services,Australian Government,DoHAC and other,"4,084,083.85","4,381,236.88"
2014-15,ACT,Primary health care,Dental services,Australian Government,Premium rebates,"11,933,831.79","12,802,789.55"
2014-15,ACT,Primary health care,Dental services,Non-government,Health insurance funds,"29,378,797.16","31,518,003.95"
2014-15,ACT,Primary health care,Dental services,Non-government,Individuals,"114,700,571.89","123,052,453.71"
2014-15,ACT,Primary health care,Dental services,Non-government,Other source of funds,"264,242.26","283,482.97"
2014-15,ACT,Primary health care,Dental services,State and local government,State and local government,"11,525,406.21","12,364,624.61"
2014-15,ACT,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"7,980,000.00","9,566,504.04"
2014-15,ACT,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"17,669,257.64","21,182,083.29"
2014-15,ACT,Primary health care,Other health practitioners,Australian Government,Premium rebates,"4,718,515.79","5,656,604.05"
2014-15,ACT,Primary health care,Other health practitioners,Non-government,Health insurance funds,"11,616,077.77","13,925,470.55"
2014-15,ACT,Primary health care,Other health practitioners,Non-government,Individuals,"52,628,771.63","63,091,899.31"
2014-15,ACT,Primary health care,Other health practitioners,Non-government,Other source of funds,"11,720,330.63","14,050,449.92"
2014-15,ACT,Primary health care,Other health practitioners,State and local government,State and local government,"1,986,858.61","2,381,866.04"
2014-15,ACT,Primary health care,Public health,Australian Government,DoHAC and other,"19,052,934.25","21,558,140.15"
2014-15,ACT,Primary health care,Public health,State and local government,State and local government,"26,381,290.08","30,003,765.39"
2014-15,ACT,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"12,205,073.48","13,596,731.48"
2014-15,ACT,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"112,068,067.78","124,672,670.11"
2014-15,ACT,Primary health care,Unreferred medical services,Non-government,Individuals,"27,279,906.00","30,390,440.29"
2014-15,ACT,Primary health care,Unreferred medical services,Non-government,Other source of funds,"18,971,356.79","21,134,526.11"
2014-15,ACT,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"34,590,859.59","38,535,010.08"
2014-15,ACT,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"156,582,312.00","174,436,282.99"
2014-15,ACT,Referred medical services,Referred medical services,Australian Government,Premium rebates,"6,148,966.23","6,850,089.25"
2014-15,ACT,Referred medical services,Referred medical services,Non-government,Health insurance funds,"15,137,571.46","16,863,601.42"
2014-15,ACT,Referred medical services,Referred medical services,Non-government,Individuals,"69,695,814.60","77,642,734.25"
2014-15,ACT,Research,Research,Australian Government,Department of Veterans' Affairs,"2,231,000.00","2,648,650.57"
2014-15,ACT,Research,Research,Australian Government,DoHAC and other,"102,895,247.34","122,157,577.42"
2014-15,ACT,Research,Research,Non-government,Individuals,"58,554.14","69,515.67"
2014-15,ACT,Research,Research,Non-government,Other source of funds,"4,578,722.77","5,435,874.79"
2014-15,ACT,Research,Research,State and local government,State and local government,"16,159,339.50","19,184,421.22"
2014-15,NSW,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"31,156,593.58","33,669,099.31"
2014-15,NSW,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"1,610,259,761.19","1,915,676,619.27"
2014-15,NSW,Capital expenditure,Capital expenditure,State and local government,State and local government,"1,275,000,000.00","1,465,007,151.32"
2014-15,NSW,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"223,733,941.55","260,117,446.17"
2014-15,NSW,Hospitals,Private hospitals,Australian Government,DoHAC and other,"106,332,226.35","123,619,051.73"
2014-15,NSW,Hospitals,Private hospitals,Australian Government,Premium rebates,"878,288,756.44","1,021,115,646.32"
2014-15,NSW,Hospitals,Private hospitals,Non-government,Health insurance funds,"2,162,123,977.12","2,513,727,525.40"
2014-15,NSW,Hospitals,Private hospitals,Non-government,Individuals,"256,716,178.68","298,463,238.64"
2014-15,NSW,Hospitals,Private hospitals,Non-government,Other source of funds,"353,505,146.22","410,991,980.95"
2014-15,NSW,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"342,491,488.45","398,187,287.52"
2014-15,NSW,Hospitals,Public hospital services,Australian Government,DoHAC and other,"5,464,827,231.46","6,353,284,984.14"
2014-15,NSW,Hospitals,Public hospital services,Australian Government,Premium rebates,"170,833,301.25","198,614,129.51"
2014-15,NSW,Hospitals,Public hospital services,Non-government,Health insurance funds,"420,548,224.06","488,937,571.46"
2014-15,NSW,Hospitals,Public hospital services,Non-government,Individuals,"271,869,004.65","316,080,209.80"
2014-15,NSW,Hospitals,Public hospital services,Non-government,Other source of funds,"820,625,517.35","954,075,239.36"
2014-15,NSW,Hospitals,Public hospital services,State and local government,State and local government,"7,786,824,466.48","9,053,114,069.32"
2014-15,NSW,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"55,288,500.00","65,350,449.94"
2014-15,NSW,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-55,288,500.00","-65,350,449.94"
2014-15,NSW,Other services,Administration,Australian Government,Department of Veterans' Affairs,0.00,0.00
2014-15,NSW,Other services,Administration,Australian Government,DoHAC and other,"508,483,379.42","600,504,098.92"
2014-15,NSW,Other services,Administration,Australian Government,Premium rebates,"159,209,415.20","188,183,924.66"
2014-15,NSW,Other services,Administration,Non-government,Health insurance funds,"391,942,939.90","463,272,605.96"
2014-15,NSW,Other services,Administration,State and local government,State and local government,0.00,0.00
2014-15,NSW,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"583,000.00","663,851.49"
2014-15,NSW,Other services,Aids and appliances,Australian Government,DoHAC and other,"159,347,946.72","181,446,606.03"
2014-15,NSW,Other services,Aids and appliances,Australian Government,Premium rebates,"86,899,267.52","98,950,613.94"
2014-15,NSW,Other services,Aids and appliances,Non-government,Health insurance funds,"213,929,272.61","243,597,368.18"
2014-15,NSW,Other services,Aids and appliances,Non-government,Individuals,"522,221,985.42","594,644,667.84"
2014-15,NSW,Other services,Aids and appliances,Non-government,Other source of funds,"6,320,744.03","7,197,316.16"
2014-15,NSW,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"88,004,000.00","102,315,167.63"
2014-15,NSW,Other services,Patient transport services,Australian Government,DoHAC and other,"4,531,705.02","5,268,648.69"
2014-15,NSW,Other services,Patient transport services,Australian Government,Premium rebates,"49,626,157.35","57,696,338.89"
2014-15,NSW,Other services,Patient transport services,Non-government,Health insurance funds,"122,170,048.69","142,037,282.51"
2014-15,NSW,Other services,Patient transport services,Non-government,Individuals,"65,740,191.53","76,430,829.46"
2014-15,NSW,Other services,Patient transport services,Non-government,Other source of funds,"41,656,209.22","48,430,321.68"
2014-15,NSW,Other services,Patient transport services,State and local government,State and local government,"618,582,469.92","719,176,049.95"
2014-15,NSW,Primary health care,All other medications,Australian Government,DoHAC and other,"187,644,490.16","199,995,556.53"
2014-15,NSW,Primary health care,All other medications,Australian Government,Premium rebates,"7,016,807.50","7,409,397.32"
2014-15,NSW,Primary health care,All other medications,Non-government,Health insurance funds,"17,274,029.67","18,240,510.25"
2014-15,NSW,Primary health care,All other medications,Non-government,Individuals,"3,165,206,324.33","3,342,299,365.73"
2014-15,NSW,Primary health care,All other medications,Non-government,Other source of funds,"8,698,993.88","9,185,701.90"
2014-15,NSW,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"124,934,000.00","166,238,911.52"
2014-15,NSW,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"2,686,616,011.02","3,574,816,763.40"
2014-15,NSW,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"498,785,666.74","663,691,119.50"
2014-15,NSW,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"245,000.00","289,587.53"
2014-15,NSW,Primary health care,Community health and other,Australian Government,DoHAC and other,"329,417,256.10","389,250,490.36"
2014-15,NSW,Primary health care,Community health and other,Australian Government,Premium rebates,"104,410.35","123,411.99"
2014-15,NSW,Primary health care,Community health and other,Non-government,Health insurance funds,"257,038.20","303,816.56"
